p,K,K_index,lambda,n_CX,restart,seed,energy,E_exact,err_pct,n_iter,converged,hit_maxiter,diverged,is_best,cell_time_s
0.005,-16.0,0,3,60,1,20003,-365.9232528805447,-382.9999999999999,4.458680710040525,2000,False,True,False,True,487.2525465488434
0.005,-16.0,0,3,60,2,20003,-363.7952727631584,-382.9999999999999,5.0142890957810735,2000,False,True,False,False,487.2525465488434
0.005,-16.0,0,3,60,3,20003,-364.23803151466194,-382.9999999999999,4.898686288599987,2000,False,True,False,False,487.2525465488434
0.005,-16.0,0,3,60,4,20003,-365.32502913309054,-382.9999999999999,4.614874899976332,2000,False,True,False,False,487.2525465488434
0.005,-16.0,0,3,60,5,20003,-364.2425635285191,-382.9999999999999,4.897502995164698,2000,False,True,False,False,487.2525465488434
0.005,-16.0,0,3,60,6,20003,-361.728507845262,-382.9999999999999,5.55391440071485,2000,False,True,False,False,487.2525465488434
0.005,-16.0,0,3,60,7,20003,-362.18771067894255,-382.9999999999999,5.4340180994927785,2000,False,True,False,False,487.2525465488434
0.005,-15.0,1,3,60,0,20013,-341.1761168209491,-358.99999999999966,4.964869966309347,2000,False,True,False,False,487.34631752967834
0.005,-15.0,1,3,60,1,20013,-343.0555268160007,-358.99999999999966,4.441357432868801,2000,False,True,False,True,487.34631752967834
0.005,-15.0,1,3,60,2,20013,-341.46687228861117,-358.99999999999966,4.883879585344987,2000,False,True,False,False,487.34631752967834
0.005,-15.0,1,3,60,3,20013,-341.48235554445387,-358.99999999999966,4.879566700709139,2000,False,True,False,False,487.34631752967834
0.005,-15.0,1,3,60,4,20013,-342.95473121506393,-358.99999999999966,4.469434201931962,2000,False,True,False,False,487.34631752967834
0.005,-15.0,1,3,60,5,20013,-339.67511865344704,-358.99999999999966,5.382975305446417,2000,False,True,False,False,487.34631752967834
0.005,-15.0,1,3,60,6,20013,-341.49495756022185,-358.99999999999966,4.876056389910258,2000,False,True,False,False,487.34631752967834
0.005,-15.0,1,3,60,7,20013,-341.05942130911706,-358.99999999999966,4.997375679911594,2000,False,True,False,False,487.34631752967834
0.005,-14.0,2,3,60,0,20023,-319.72094854408914,-335.0000000000001,4.560910882361483,2000,False,True,False,False,489.9839496612549
0.005,-14.0,2,3,60,1,20023,-318.48671121819524,-335.0000000000001,4.929339934867126,2000,False,True,False,False,489.9839496612549
0.005,-14.0,2,3,60,2,20023,-319.90897753023984,-335.0000000000001,4.50478282679411,2000,False,True,False,False,489.9839496612549
0.005,-14.0,2,3,60,3,20023,-319.71588389010816,-335.0000000000001,4.562422719370731,2000,False,True,False,False,489.9839496612549
0.005,-14.0,2,3,60,4,20023,-317.61341258307823,-335.0000000000001,5.190026094603546,2000,False,True,False,False,489.9839496612549
0.005,-14.0,2,3,60,5,20023,-318.1712506848794,-335.0000000000001,5.0235072582449884,2000,False,True,False,False,489.9839496612549
0.005,-14.0,2,3,60,6,20023,-319.9169127823157,-335.0000000000001,4.502414094831165,2000,False,True,False,True,489.9839496612549
0.005,-14.0,2,3,60,7,20023,-317.739226582466,-335.0000000000001,5.152469676875848,2000,False,True,False,False,489.9839496612549
0.005,-12.0,4,3,60,0,20043,-274.4590318159423,-286.9999999999998,4.36967532545557,2000,False,True,False,True,498.4258635044098
